code,name,name_clean,name_search,scie,grup,food_category,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water,ash,protein_percent,carbs_percent,fat_percent,fasat,fauns,fapu,cholc,ca,fe,mg,p,k,na,zn,vita,vitc,vitd,vite,thia,ribf,nia,vitb6c,folsum,fsugar,protein_density,fiber_density,search_keywords,tags,regn
O041,"Calf, heart","calf, heart",calf heart,Unknown,Animal Meat,Protein,459.0,18.84,0.0,3.75,0.0,73.44,0.86,83.4,0.0,16.6,1.489,1.469,0.773,0.13,0.006,0.005,0.018,0.185,0.224,0.058,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,4.1,0.0,calf heart nonveg,nonveg,1
O042,"Calf, liver","calf, liver",calf liver,Unknown,Animal Meat,Protein,503.0,21.02,0.0,3.95,0.0,73.66,1.26,84.2,0.0,15.8,1.616,1.313,0.643,0.306,0.005,0.016,0.019,0.358,0.307,0.055,0.004,0.01,0.0,0.0,0.0,0.0,0.0,0.013,0.001,0.0,0.0,4.18,0.0,calf liver nonveg,nonveg,1
O043,"Calf, spleen","calf, spleen",calf spleen,Unknown,Animal Meat,Protein,379.0,17.71,0.0,2.12,0.0,78.65,1.41,89.3,0.0,10.7,1.03,0.91,0.397,0.36,0.011,0.025,0.019,0.274,0.372,0.068,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,4.67,0.0,calf spleen nonveg,nonveg,1
O044,"Calf, kidneys","calf, kidneys",calf kidneys,Unknown,Animal Meat,Protein,387.0,15.16,0.0,3.5,0.0,80.23,1.02,81.2,0.0,18.8,1.464,1.151,0.491,0.271,0.013,0.005,0.017,0.204,0.206,0.174,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,3.92,0.0,calf kidneys nonveg,nonveg,2
O045,"Mithun, shoulder","mithun, shoulder",mithun shoulder,Unknown,Animal Meat,Protein,736.0,19.05,0.0,11.14,0.0,68.86,0.84,63.1,0.0,36.9,4.436,5.77,3.613,0.045,0.004,0.002,0.019,0.199,0.307,0.033,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,2.59,0.0,mithun shoulder nonveg,nonveg,1
O046,"Mithun, chops","mithun, chops",mithun chops,Unknown,Animal Meat,Protein,536.0,18.19,0.0,6.12,0.0,73.81,0.79,74.8,0.0,25.2,2.736,2.872,1.596,0.047,0.005,0.002,0.018,0.178,0.222,0.042,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,3.39,0.0,mithun chops nonveg,nonveg,1
O047,"Mithun, round (leg)","mithun, round (leg)",mithun round leg ,Unknown,Animal Meat,Protein,485.0,19.61,0.0,4.1,0.0,72.25,0.9,82.7,0.0,17.3,1.442,3.618,1.7,0.044,0.005,0.002,0.022,0.19,0.338,0.028,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,4.04,0.0,mithun round leg  nonveg,nonveg,1
O048,"Pork, shoulder","pork, shoulder",pork shoulder,Unknown,Animal Meat,Protein,993.0,17.41,0.0,18.83,0.0,62.92,0.75,48.0,0.0,52.0,6.887,10.243,2.129,0.044,0.01,0.001,0.015,0.157,0.234,0.054,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,1.75,0.0,pork shoulder nonveg,nonveg,6
O049,"Pork, chops","pork, chops",pork chops,Unknown,Animal Meat,Protein,748.0,19.41,0.0,11.3,0.0,68.4,0.64,63.2,0.0,36.8,4.803,5.632,0.66,0.047,0.008,0.001,0.012,0.143,0.243,0.044,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,2.59,0.0,pork chops nonveg,nonveg,6
O050,"Pork, ham","pork, ham",pork ham,Unknown,Animal Meat,Protein,1006.0,18.83,0.0,18.55,0.0,61.94,0.62,50.4,0.0,49.6,6.938,9.94,1.875,0.047,0.007,0.001,0.017,0.14,0.239,0.04,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,1.87,0.0,pork ham nonveg,nonveg,6
O051,"Pork, lungs","pork, lungs",pork lungs,Unknown,Animal Meat,Protein,358.0,15.13,0.0,2.74,0.0,81.12,0.93,84.7,0.0,15.3,1.247,1.336,0.469,0.232,0.01,0.007,0.01,0.161,0.2,0.061,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,4.23,0.0,pork lungs nonveg,nonveg,4
O052,"Pork, heart","pork, heart",pork heart,Unknown,Animal Meat,Protein,457.0,16.31,0.0,4.87,0.0,77.74,1.01,77.0,0.0,23.0,1.575,2.266,1.019,0.134,0.005,0.004,0.018,0.187,0.268,0.071,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,3.57,0.0,pork heart nonveg,nonveg,4
O053,"Pork, liver","pork, liver",pork liver,Unknown,Animal Meat,Protein,484.0,19.89,0.0,3.94,0.0,74.88,1.18,83.5,0.0,16.5,1.325,1.596,0.896,0.216,0.006,0.021,0.017,0.31,0.279,0.065,0.004,0.009,0.0,0.0,0.001,0.0,0.0,0.014,0.0,0.0,0.0,4.11,0.0,pork liver nonveg,nonveg,5
O054,"Pork, stomach","pork, stomach",pork stomach,Unknown,Animal Meat,Protein,550.0,15.36,0.0,7.81,0.0,76.51,0.23,66.3,0.0,33.7,3.327,3.78,1.09,0.187,0.012,0.002,0.023,0.125,0.2,0.109,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,2.79,0.0,pork stomach nonveg,nonveg,1
O055,"Pork, spleen","pork, spleen",pork spleen,Unknown,Animal Meat,Protein,357.0,15.13,0.0,2.71,0.0,80.93,1.13,84.8,0.0,15.2,1.245,1.217,0.397,0.201,0.007,0.027,0.016,0.23,0.325,0.049,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,4.24,0.0,pork spleen nonveg,nonveg,3
O056,"Pork, kidneys","pork, kidneys",pork kidneys,Unknown,Animal Meat,Protein,379.0,14.35,0.0,3.65,0.0,80.92,0.97,79.7,0.0,20.3,1.169,1.56,0.714,0.267,0.007,0.006,0.016,0.201,0.198,0.138,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,3.79,0.0,pork kidneys nonveg,nonveg,5
O057,"Pork, tube (small intestine)","pork, tube (small intestine)",pork tube small intestine ,Unknown,Animal Meat,Protein,587.0,14.96,0.0,8.98,0.0,75.42,0.55,62.5,0.0,37.5,4.109,4.066,0.892,0.18,0.016,0.003,0.01,0.124,0.14,0.06,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,2.55,0.0,pork tube small intestine  nonveg,nonveg,1
O058,"Hare, shoulder","hare, shoulder",hare shoulder,Unknown,Animal Meat,Protein,603.0,21.13,0.0,6.58,0.0,71.06,1.17,76.3,0.0,23.7,2.698,3.326,1.72,0.08,0.058,0.003,0.028,0.26,0.303,0.055,0.003,0.0,0.0,0.0,0.001,0.0,0.0,0.005,0.0,0.0,0.0,3.5,0.0,hare shoulder nonveg,nonveg,1
O059,"Hare, chops","hare, chops",hare chops,Unknown,Animal Meat,Protein,445.0,20.62,0.0,2.55,0.0,75.47,1.27,89.0,0.0,11.0,1.028,1.303,0.69,0.078,0.038,0.003,0.031,0.295,0.34,0.049,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.005,0.0,0.0,0.0,4.63,0.0,hare chops nonveg,nonveg,1
O060,"Hare, leg","hare, leg",hare leg,Unknown,Animal Meat,Protein,503.0,20.52,0.0,4.16,0.0,73.0,1.26,83.1,0.0,16.9,0.91,1.069,0.555,0.079,0.053,0.002,0.032,0.275,0.37,0.042,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.006,0.0,0.0,0.0,4.08,0.0,hare leg nonveg,nonveg,1
O061,"Rabbit, shoulder","rabbit, shoulder",rabbit shoulder,Unknown,Animal Meat,Protein,635.0,20.01,0.0,7.96,0.0,70.75,1.19,71.5,0.0,28.5,3.142,4.145,1.813,0.083,0.046,0.002,0.032,0.238,0.361,0.061,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.0,0.0,0.0,3.15,0.0,rabbit shoulder nonveg,nonveg,1
O062,"Rabbit, chops","rabbit, chops",rabbit chops,Unknown,Animal Meat,Protein,565.0,22.61,0.0,4.88,0.0,71.03,1.35,82.2,0.0,17.8,1.907,2.563,1.083,0.079,0.025,0.002,0.033,0.245,0.374,0.048,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.008,0.0,0.0,0.0,4.0,0.0,rabbit chops nonveg,nonveg,1
O063,"Rabbit, leg","rabbit, leg",rabbit leg,Unknown,Animal Meat,Protein,584.0,21.31,0.0,5.99,0.0,70.33,1.26,78.1,0.0,21.9,1.575,2.08,0.877,0.077,0.022,0.001,0.021,0.245,0.389,0.046,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.005,0.0,0.0,0.0,3.65,0.0,rabbit leg nonveg,nonveg,1
P001,Allathi,allathi,allathi,Elops machnata,Marine Fish,Protein,406.0,21.77,0.0,0.98,0.0,75.91,1.06,95.7,0.0,4.3,0.346,0.426,0.261,0.014,0.014,0.001,0.029,0.215,0.286,0.033,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.194,0.0,0.0,5.36,0.0,allathi fishetarian nonveg,fishetarian nonveg,1
P002,Aluva,aluva,aluva,Parastromateus niger,Marine Fish,Protein,434.0,21.63,0.0,1.8,0.0,75.71,1.39,92.3,0.0,7.7,0.755,0.778,0.49,0.022,0.011,0.0,0.034,0.245,0.47,0.045,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.158,0.0,0.0,4.98,0.0,aluva fishetarian nonveg,fishetarian nonveg,3
P003,Anchovy,anchovy,anchovy,Stolephorus indicus,Marine Fish,Protein,367.0,19.88,0.0,0.78,0.0,77.77,1.62,96.2,0.0,3.8,0.248,0.34,0.29,0.03,0.037,0.001,0.053,0.246,0.27,0.212,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.061,0.0,0.0,5.42,0.0,anchovy fishetarian nonveg,fishetarian nonveg,2
P004,Ari fish,ari fish,ari fish,Aprion virescens,Marine Fish,Protein,415.0,22.01,0.0,1.11,0.0,77.09,1.34,95.2,0.0,4.8,0.408,0.485,0.319,0.016,0.004,0.0,0.03,0.265,0.447,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.218,0.0,0.0,5.3,0.0,ari fish fishetarian nonveg,fishetarian nonveg,1
P005,Betki,betki,betki,Lates calcarifer,Marine Fish,Protein,284.0,15.28,0.0,0.29,0.0,82.52,1.12,98.1,0.0,1.9,0.086,0.111,0.057,0.019,0.009,0.0,0.024,0.188,0.355,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.085,0.0,0.0,5.38,0.0,betki fishetarian nonveg,fishetarian nonveg,1
P006,Black snapper,black snapper,black snapper,Macolor niger,Marine Fish,Protein,377.0,19.5,0.0,1.24,0.0,78.09,1.19,94.0,0.0,6.0,0.47,0.544,0.293,0.03,0.01,0.001,0.027,0.195,0.341,0.041,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.106,0.0,0.0,5.17,0.0,black snapper fishetarian nonveg,fishetarian nonveg,1
P007,Bombay duck,bombay duck,bombay duck,Harpadon nehereus,Marine Fish,Protein,287.0,13.53,0.0,1.03,0.0,83.24,1.07,92.9,0.0,7.1,0.398,0.423,0.252,0.046,0.159,0.001,0.024,0.185,0.188,0.223,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.098,0.0,0.0,4.71,0.0,bombay duck fishetarian nonveg,fishetarian nonveg,2
P008,Bommuralu,bommuralu,bommuralu,Muraenesox cinerius,Marine Fish,Protein,485.0,22.3,0.0,2.87,0.0,76.42,1.21,88.6,0.0,11.4,1.238,1.295,0.594,0.045,0.047,0.0,0.027,0.207,0.349,0.062,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.069,0.0,0.0,4.6,0.0,bommuralu fishetarian nonveg,fishetarian nonveg,3
P009,Cat fish,cat fish,cat fish,Tachysurus thalassinus,Marine Fish,Protein,456.0,22.18,0.0,2.13,0.0,76.22,1.32,91.2,0.0,8.8,0.792,1.049,0.619,0.018,0.006,0.001,0.026,0.252,0.429,0.036,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.223,0.0,0.0,4.86,0.0,cat fish fishetarian nonveg,fishetarian nonveg,1
P010,Chakla,chakla,chakla,Rachycentron canadum,Marine Fish,Protein,406.0,20.21,0.0,1.68,0.0,78.36,1.07,92.3,0.0,7.7,0.654,0.774,0.422,0.03,0.007,0.0,0.025,0.219,0.343,0.051,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.099,0.0,0.0,4.98,0.0,chakla fishetarian nonveg,fishetarian nonveg,5
P011,Chappal,chappal,chappal,Aluterus monoceros,Marine Fish,Protein,317.0,17.17,0.0,0.67,0.0,80.61,1.23,96.2,0.0,3.8,0.199,0.283,0.208,0.011,0.01,0.001,0.026,0.203,0.306,0.038,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.185,0.0,0.0,5.42,0.0,chappal fishetarian nonveg,fishetarian nonveg,1
P012,Chelu,chelu,chelu,Elagatis bipinnulata,Marine Fish,Protein,366.0,20.02,0.0,0.7,0.0,76.36,1.28,96.6,0.0,3.4,0.229,0.283,0.179,0.023,0.008,0.001,0.032,0.252,0.406,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.161,0.0,0.0,5.47,0.0,chelu fishetarian nonveg,fishetarian nonveg,2
P013,Chembali,chembali,chembali,Lutjanus quinquelineatus,Marine Fish,Protein,406.0,20.06,0.0,1.77,0.0,77.54,0.86,91.9,0.0,8.1,0.7,0.809,0.44,0.011,0.024,0.0,0.031,0.211,0.323,0.039,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.146,0.0,0.0,4.94,0.0,chembali fishetarian nonveg,fishetarian nonveg,1
P014,Eri meen,eri meen,eri meen,Pristipomoides filamentosus,Marine Fish,Protein,454.0,22.3,0.0,2.02,0.0,76.54,1.28,91.7,0.0,8.3,0.739,1.006,0.666,0.013,0.012,0.0,0.031,0.243,0.402,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.19,0.0,0.0,4.91,0.0,eri meen fishetarian nonveg,fishetarian nonveg,1
P015,Gobro,gobro,gobro,Epinephelus diacanthus,Marine Fish,Protein,362.0,19.37,0.0,0.88,0.0,78.84,0.98,95.7,0.0,4.3,0.289,0.389,0.251,0.021,0.024,0.0,0.028,0.17,0.316,0.053,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.044,0.0,0.0,5.35,0.0,gobro fishetarian nonveg,fishetarian nonveg,2
P016,Guitar fish,guitar fish,guitar fish,Rhinobatus prahli,Marine Fish,Protein,400.0,22.56,0.0,0.44,0.0,75.73,1.32,98.1,0.0,1.9,0.114,0.18,0.143,0.01,0.017,0.0,0.027,0.23,0.342,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.139,0.0,0.0,5.64,0.0,guitar fish fishetarian nonveg,fishetarian nonveg,1
P017,Hilsa,hilsa,hilsa,Tenualosa ilisha,Marine Fish,Protein,1083.0,21.8,0.0,18.49,0.0,60.09,1.11,54.1,0.0,45.9,9.286,7.822,1.801,0.082,0.02,0.001,0.031,0.278,0.341,0.081,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.12,0.0,0.0,2.01,0.0,hilsa fishetarian nonveg,fishetarian nonveg,2
P018,Jallal,jallal,jallal,Arius sp.,Marine Fish,Protein,420.0,21.55,0.0,1.46,0.0,77.5,1.17,93.7,0.0,6.3,0.519,0.7,0.389,0.019,0.015,0.0,0.029,0.204,0.368,0.074,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.089,0.0,0.0,5.13,0.0,jallal fishetarian nonveg,fishetarian nonveg,1
P019,Jathi vela meen,jathi vela meen,jathi vela meen,Lethrinus lentjan,Marine Fish,Protein,453.0,22.45,0.0,1.92,0.0,75.66,1.26,92.1,0.0,7.9,0.837,0.813,0.294,0.02,0.007,0.0,0.031,0.249,0.467,0.031,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.067,0.0,0.0,4.96,0.0,jathi vela meen fishetarian nonveg,fishetarian nonveg,2
P020,Kadal bral,kadal bral,kadal bral,Synodus indicus,Marine Fish,Protein,368.0,18.72,0.0,1.34,0.0,79.66,1.27,93.3,0.0,6.7,0.478,0.628,0.436,0.026,0.074,0.0,0.03,0.219,0.366,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.089,0.0,0.0,5.09,0.0,kadal bral fishetarian nonveg,fishetarian nonveg,1
P021,Kadali,kadali,kadali,Nemipterus mesoprion,Marine Fish,Protein,530.0,22.07,0.0,4.2,0.0,73.74,1.06,84.0,0.0,16.0,1.611,2.16,1.342,0.02,0.009,0.0,0.026,0.207,0.39,0.036,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.184,0.0,0.0,4.16,0.0,kadali fishetarian nonveg,fishetarian nonveg,1
P022,Kalamaara,kalamaara,kalamaara,Leptomelanosoma indicum,Marine Fish,Protein,523.0,20.89,0.0,4.54,0.0,75.5,1.08,82.1,0.0,17.9,2.107,1.986,0.907,0.029,0.008,0.0,0.034,0.227,0.42,0.029,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.16,0.0,0.0,3.99,0.0,kalamaara fishetarian nonveg,fishetarian nonveg,2
P023,Kalava,kalava,kalava,Epinephelus coioides,Marine Fish,Protein,374.0,19.38,0.0,1.2,0.0,80.02,1.34,94.2,0.0,5.8,0.455,0.525,0.275,0.021,0.011,0.0,0.023,0.177,0.279,0.04,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.135,0.0,0.0,5.18,0.0,kalava fishetarian nonveg,fishetarian nonveg,1
P024,Kanamayya,kanamayya,kanamayya,Lutjanus rivulatus,Marine Fish,Protein,367.0,20.19,0.0,0.65,0.0,77.59,1.07,96.9,0.0,3.1,0.209,0.281,0.168,0.022,0.008,0.0,0.027,0.194,0.346,0.051,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.084,0.0,0.0,5.5,0.0,kanamayya fishetarian nonveg,fishetarian nonveg,2
P025,Kannadi paarai,kannadi paarai,kannadi paarai,Alectis indicus,Marine Fish,Protein,423.0,22.09,0.0,1.27,0.0,76.25,1.28,94.6,0.0,5.4,0.479,0.563,0.329,0.019,0.009,0.0,0.032,0.252,0.432,0.06,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.067,0.0,0.0,5.22,0.0,kannadi paarai fishetarian nonveg,fishetarian nonveg,3
P026,Karimeen,karimeen,karimeen,Etroplus suratensis,Marine Fish,Protein,386.0,19.68,0.0,1.38,0.0,78.66,0.97,93.4,0.0,6.6,0.577,0.564,0.274,0.016,0.012,0.001,0.028,0.192,0.452,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.091,0.0,0.0,5.1,0.0,karimeen fishetarian nonveg,fishetarian nonveg,1
P027,Karnagawala,karnagawala,karnagawala,Anchoa hepsetus,Marine Fish,Protein,363.0,19.52,0.0,0.84,0.0,79.22,1.45,95.9,0.0,4.1,0.255,0.386,0.301,0.035,0.06,0.0,0.044,0.178,0.228,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.06,0.0,0.0,5.38,0.0,karnagawala fishetarian nonveg,fishetarian nonveg,1
P028,Kayrai,kayrai,kayrai,Thunnus albacares,Marine Fish,Protein,454.0,20.15,0.0,3.0,0.0,72.69,1.28,87.0,0.0,13.0,1.096,1.563,0.98,0.03,0.006,0.001,0.032,0.266,0.321,0.025,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.005,0.264,0.0,0.0,4.44,0.0,kayrai fishetarian nonveg,fishetarian nonveg,2
P029,Kiriyan,kiriyan,kiriyan,Atule mate,Marine Fish,Protein,556.0,22.49,0.0,4.7,0.0,72.39,0.94,82.7,0.0,17.3,2.102,2.137,1.069,0.011,0.019,0.001,0.032,0.214,0.277,0.036,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.121,0.0,0.0,4.04,0.0,kiriyan fishetarian nonveg,fishetarian nonveg,1
P030,Kite fish,kite fish,kite fish,Mobula kuhlii,Marine Fish,Protein,413.0,23.07,0.0,0.56,0.0,77.61,1.5,97.6,0.0,2.4,0.169,0.211,0.143,0.015,0.011,0.001,0.028,0.231,0.387,0.059,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.127,0.0,0.0,5.59,0.0,kite fish fishetarian nonveg,fishetarian nonveg,1
P031,Korka,korka,korka,Terapon jarbua,Marine Fish,Protein,528.0,23.72,0.0,3.36,0.0,72.25,1.09,87.6,0.0,12.4,1.407,1.585,0.898,0.107,0.011,0.001,0.029,0.229,0.349,0.043,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.316,0.0,0.0,4.49,0.0,korka fishetarian nonveg,fishetarian nonveg,1
P032,Kulam paarai,kulam paarai,kulam paarai,Carangoides fulvoguttatus,Marine Fish,Protein,501.0,21.62,0.0,3.6,0.0,73.44,1.25,85.7,0.0,14.3,1.43,1.785,1.107,0.055,0.015,0.0,0.031,0.244,0.366,0.049,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.218,0.0,0.0,4.32,0.0,kulam paarai fishetarian nonveg,fishetarian nonveg,1
P033,Maagaa,maagaa,maagaa,Polynemus plebeius,Marine Fish,Protein,366.0,20.11,0.0,0.67,0.0,79.23,1.01,96.8,0.0,3.2,0.201,0.242,0.146,0.007,0.008,0.0,0.03,0.181,0.375,0.052,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.106,0.0,0.0,5.49,0.0,maagaa fishetarian nonveg,fishetarian nonveg,1
P034,Mackerel,mackerel,mackerel,Rastrelliger kanagurta,Marine Fish,Protein,423.0,21.51,0.0,1.53,0.0,74.55,1.2,93.4,0.0,6.6,0.604,0.686,0.47,0.046,0.031,0.001,0.037,0.231,0.309,0.083,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.1,0.0,0.0,5.09,0.0,mackerel fishetarian nonveg,fishetarian nonveg,3
P035,Manda clathi,manda clathi,manda clathi,Naso reticulatus,Marine Fish,Protein,398.0,21.27,0.0,1.0,0.0,76.32,1.48,95.5,0.0,4.5,0.337,0.449,0.278,0.021,0.011,0.0,0.038,0.32,0.431,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.088,0.0,0.0,5.34,0.0,manda clathi fishetarian nonveg,fishetarian nonveg,1
P036,Matha,matha,matha,Acanthurus mata,Marine Fish,Protein,389.0,21.17,0.0,0.79,0.0,79.81,1.35,96.4,0.0,3.6,0.297,0.294,0.188,0.021,0.014,0.0,0.04,0.263,0.45,0.063,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.042,0.0,0.0,5.44,0.0,matha fishetarian nonveg,fishetarian nonveg,2
P037,Milk fish,milk fish,milk fish,Chanos chanos,Marine Fish,Protein,442.0,23.66,0.0,1.09,0.0,72.22,1.12,95.6,0.0,4.4,0.366,0.509,0.321,0.021,0.029,0.001,0.035,0.292,0.301,0.043,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.005,0.077,0.0,0.0,5.35,0.0,milk fish fishetarian nonveg,fishetarian nonveg,1
P038,Moon fish,moon fish,moon fish,Mene maculata,Marine Fish,Protein,526.0,20.74,0.0,4.69,0.0,74.21,1.69,81.6,0.0,18.4,2.929,1.306,0.374,0.069,0.029,0.002,0.037,0.169,0.157,0.065,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.136,0.0,0.0,3.94,0.0,moon fish fishetarian nonveg,fishetarian nonveg,1
P039,Mullet,mullet,mullet,Mugil cephalus,Marine Fish,Protein,393.0,20.23,0.0,1.32,0.0,76.12,1.16,93.9,0.0,6.1,0.495,0.597,0.378,0.018,0.035,0.001,0.034,0.222,0.331,0.066,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.135,0.0,0.0,5.15,0.0,mullet fishetarian nonveg,fishetarian nonveg,3
P040,Mural,mural,mural,Tylosurus crocodilus crocodilus,Marine Fish,Protein,345.0,19.04,0.0,0.58,0.0,78.96,1.11,97.0,0.0,3.0,0.349,0.435,0.354,0.017,0.009,0.0,0.027,0.224,0.33,0.11,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.067,0.0,0.0,5.52,0.0,mural fishetarian nonveg,fishetarian nonveg,1
P041,Myil meen,myil meen,myil meen,Istiophorus platypterus,Marine Fish,Protein,410.0,22.89,0.0,0.56,0.0,75.57,1.21,97.6,0.0,2.4,0.15,0.234,0.179,0.022,0.007,0.001,0.03,0.268,0.365,0.062,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.119,0.0,0.0,5.58,0.0,myil meen fishetarian nonveg,fishetarian nonveg,2
P042,Nalla bontha,nalla bontha,nalla bontha,Epinephelus sp,Marine Fish,Protein,364.0,19.82,0.0,0.72,0.0,79.32,1.0,96.5,0.0,3.5,0.238,0.293,0.166,0.015,0.009,0.0,0.029,0.197,0.403,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.083,0.0,0.0,5.45,0.0,nalla bontha fishetarian nonveg,fishetarian nonveg,1
P043,Narba,narba,narba,Caranx sexfasciatus,Marine Fish,Protein,432.0,21.95,0.0,1.6,0.0,76.37,1.17,93.2,0.0,6.8,0.603,0.746,0.487,0.016,0.007,0.001,0.026,0.235,0.384,0.05,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.153,0.0,0.0,5.08,0.0,narba fishetarian nonveg,fishetarian nonveg,2
P044,Paarai,paarai,paarai,Caranx heberi,Marine Fish,Protein,435.0,21.58,0.0,1.84,0.0,75.77,1.21,92.1,0.0,7.9,0.72,0.854,0.578,0.023,0.014,0.001,0.028,0.284,0.384,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.173,0.0,0.0,4.96,0.0,paarai fishetarian nonveg,fishetarian nonveg,1
P045,Padayappa,padayappa,padayappa,Canthidermis maculata,Marine Fish,Protein,360.0,19.7,0.0,0.69,0.0,79.18,1.26,96.6,0.0,3.4,0.169,0.332,0.248,0.01,0.01,0.0,0.029,0.256,0.49,0.034,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.069,0.0,0.0,5.47,0.0,padayappa fishetarian nonveg,fishetarian nonveg,1
P046,Pali kora,pali kora,pali kora,Panna microdon,Marine Fish,Protein,394.0,19.25,0.0,1.81,0.0,78.63,1.0,91.4,0.0,8.6,0.761,0.783,0.431,0.033,0.017,0.0,0.028,0.195,0.364,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.126,0.0,0.0,4.89,0.0,pali kora fishetarian nonveg,fishetarian nonveg,1
P047,Pambada,pambada,pambada,Lepturacanthus savala,Marine Fish,Protein,537.0,21.95,0.0,4.44,0.0,74.67,1.41,83.2,0.0,16.8,1.959,2.042,1.185,0.055,0.017,0.0,0.03,0.17,0.263,0.083,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.076,0.0,0.0,4.09,0.0,pambada fishetarian nonveg,fishetarian nonveg,2
